brand,distress,waist_rise,length,fit,number_of_pockets,stretch,price,rating,number_of_ratings
Being Human,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,989,4.2,40
Powerlook,Clean Look,Mid-Rise,Regular,Boyfriend Fit,4,Non Stretchable,1310,4.3,76
WROGN,Clean Look,Mid-Rise,Regular,Slim Fit,4,Stretchable,1219,3.7,122
WROGN,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1663,4.0,41
Ducati,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,1022,4.290000000000001,41
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,2073,4.5,23
Ducati,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,909,4.7,6
Bewakoof,Clean Look,Mid-Rise,Regular,Straight Fit,6 and more,Non Stretchable,1759,3.9040000000000004,6
HERE&NOW,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,767,4.1,531
AD By Arvind,Clean Look,Mid-Rise,Regular,Skinny Fit,4,Stretchable,1169,4.14054054054054,531
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1379,4.3,1400
HIGHLANDER,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,742,3.8,216
Bewakoof,Clean Look,High-Rise,Regular,Regular Fit,6 and more,Non Stretchable,2015,4.5,29
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,859,4.1,15
HIGHLANDER,Clean Look,Mid-Rise,Cropped,Tapered Fit,5,Stretchable,619,3.7,22300
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Cropped,Slim Fit,5,Non Stretchable,2069,3.9866666666666664,22300
Bene Kleed,Clean Look,High-Rise,Regular,Wide Leg,5,Non Stretchable,999,3.7,427
The Indian Garage Co,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,827,3.9,625
Blackberrys,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1491,4.6,18
Jack & Jones,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,2124,4.2,74
Roadster,Clean Look,Mid-Rise,Regular,Bootcut,5,Stretchable,974,3.9,131
Ducati,Clean Look,Mid-Rise,Regular,Bootcut,5,Stretchable,1469,4.3,6
WROGN,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1039,4.2,13
Levis,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,2073,4.3,54
Jack & Jones,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,3499,4.123515439429929,54
Kook N Keech,Slash Knee,Mid-Rise,Regular,Regular Fit,5,Stretchable,911,4.1,93
HIGHLANDER,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,664,3.9,36700
Ducati,Clean Look,Mid-Rise,Regular,Bootcut,5,Stretchable,1349,4.2,10
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1471,4.2,3000
HIGHLANDER,Mildly Distressed,Mid-Rise,Cropped,Tapered Fit,5,Stretchable,671,3.6,175
Jack & Jones,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,2804,4.1,93
Mast & Harbour,Mildly Distressed,Mid-Rise,Regular,Regular Fit,5,Stretchable,1074,3.7,1200
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.9,865
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,2069,3.9866666666666664,865
Nautica,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1231,4.9,7
Flying Machine,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1646,4.1,284
WROGN,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1079,4.6,5
HIGHLANDER,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,624,3.7,75
Roadster,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,839,4.0,5
Mast & Harbour,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Non Stretchable,999,4.5,40
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,2999,4.3,6400
Kook N Keech,Clean Look,Mid-Rise,Regular,Regular Fit,6 and more,Stretchable,791,4.2,115
Jack & Jones,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1499,4.1,183
Roadster,Clean Look,Mid-Rise,Cropped,Regular Fit,5,Stretchable,779,3.9,666
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1499,4.3,44
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,2124,4.2,24
Hubberholme,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,1359,4.0,249
Jack & Jones,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,2294,4.2,132
Jack & Jones,Clean Look,Low-Rise,Regular,Slim Fit,5,Stretchable,1649,4.2,137
Levis,Clean Look,Mid-Rise,Regular,Slim Fit,5,Non Stretchable,1829,4.4,239
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,619,4.0,458
VAN HEUSEN DENIM LABS,Clean Look,Mid-Rise,Regular,Slim Fit,4,Non Stretchable,1724,3.9866666666666664,458
Ducati,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,1224,4.8,9
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,879,3.9,658
Mast & Harbour,Mildly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,639,3.9,682
HERE&NOW,Highly Distressed,Mid-Rise,Regular,Skinny Fit,5,Stretchable,599,3.5,381
Jack & Jones,Clean Look,Low-Rise,Regular,Skinny Fit,5,Stretchable,1749,4.0,137
Moda Rapido,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,599,4.0,151
Roadster,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,854,3.9,764
KETCH,Clean Look,Mid-Rise,Cropped,Skinny Fit,5,Stretchable,609,3.8,1100
Roadster,Clean Look,Mid-Rise,Regular,Skinny Fit,5,Stretchable,584,3.9,384
WROGN,Clean Look,Mid-Rise,Regular,Straight Fit,5,Stretchable,1121,4.3,11
Sztori,Clean Look,Mid-Rise,Regular,Tapered Fit,5,Stretchable,989,4.1,1700
HERE&NOW,Clean Look,Mid-Rise,Regular,Relaxed Fit,5,Stretchable,965,4.1,66
Urbano Plus,Clean Look,Mid-Rise,Regular,Regular Fit,5,Stretchable,1471,4.3,143
Urbano Fashion,Clean Look,Mid-Rise,Regular,Slim Fit,5,Stretchable,639,3.8,2800
